angle_deg,shared_amplitude,checkerboard_amplitude
-71.9,0.0223843602108282,0.0504706044512153
-71.85,0.0225758608381945,0.0509462940784355
-71.8,0.0227636376213272,0.0514145220383927
-71.75,0.0229476217976768,0.0518751170145609
-71.7,0.0231277447828501,0.0523279073854475
-71.65,0.0233039381952241,0.0527727212746691
-71.6,0.023476133880896,0.0532093866020501
-71.55,0.0236442639389665,0.0536377311357346
-71.5,0.0238082607471522,0.0540575825453015
-71.45,0.0239680569877173,0.0544687684559033
-71.4,0.0241235856737327,0.054871116503409
-71.35,0.0242747801756411,0.0552644543905479
-71.3,0.0244215742481341,0.0556486099440717
-71.25,0.0245639020573318,0.0560234111729016
-71.2,0.0247016982082583,0.0563886863272817
-71.15,0.0248348977726106,0.0567442639589205
-71.1,0.0249634363168093,0.0570899729821199
-71.05,0.0250872499303243,0.0574256427358813
-71,0.0252062752542814,0.0577511030469914
-70.95,0.025320449510318,0.0580661842940737
-70.9,0.0254297105297095,0.0583707174725972
-70.85,0.0255339967827308,0.0586645342608385
-70.8,0.0256332474082671,0.058947467086786
-70.75,0.0257274022436545,0.0592193491959841
-70.7,0.0258164018547384,0.0594800147202881
-70.65,0.0259001875661569,0.0597292987475437
-70.6,0.0259787014918181,0.0599670373921605
-70.55,0.0260518865655823,0.0601930678665802
-70.5,0.0261196865721239,0.0604072285536145
-70.45,0.0261820461779726,0.0606093590796559
-70.4,0.0262389109627219,0.0607993003887274
-70.35,0.0262902274503889,0.0609768948173745
-70.3,0.0263359431409187,0.0611419861703697
-70.25,0.0263760065418273,0.0612944197972242
-70.2,0.0264103671999613,0.0614340426694828
-70.15,0.0264389757333672,0.0615607034587885
-70.1,0.0264617838632621,0.0616742526156907
-70.05,0.026478744446089,0.0617745424491908
-70,0.0264898115056443,0.061861427206996
-69.95,0.026494940265265,0.0619347631564551
-69.9,0.0264940871800638,0.0619944086661727
-69.85,0.0264872099692016,0.0620402242882642
-69.8,0.026474267648171,0.0620720728412251
-69.75,0.0264552205610945,0.0620898194934148
-69.7,0.026430030413012,0.0620933318470987
-69.65,0.0263986603021405,0.0620824800230478
-69.6,0.0263610747521015,0.0620571367456524
-69.55,0.0263172397440932,0.0620171774285374
-69.5,0.0262671227489975,0.0619624802606389
-69.45,0.0262106927593948,0.0618929262927207
-69.4,0.0261479203214892,0.0618083995242959
-69.35,0.0260787775669111,0.0617087869909283
-69.3,0.0260032382443874,0.0615939788518812
-69.25,0.0259212777512643,0.0614638684780722
-69.2,0.0258328731648638,0.0613183525403193
-69.15,0.0257380032736591,0.061157331097826
-69.1,0.0256366486082369,0.0609807076868789
-69.05,0.0255287914720611,0.0607883894097271
-69,0.0254144159719794,0.060580287023596
-68.95,0.0252935080484918,0.0603563150298073
-68.9,0.0251660555057325,0.0601163917629581
-68.85,0.0250320480411703,0.0598604394801351
-68.8,0.0248914772749916,0.0595883844501046
-68.75,0.0247443367791568,0.0593001570424548
-68.7,0.0245906221061054,0.0589956918166371
-68.65,0.0244303308170966,0.0586749276108714
-68.6,0.0242634625101576,0.0583378076308673
-68.55,0.024090018847623,0.0579842795383208
-68.5,0.0239100035832543,0.0576142955391418
-68.45,0.0237234225889027,0.0572278124713609
-68.4,0.0235302838807046,0.0568247918926773
-68.35,0.0233305976447924,0.0564052001675933
-68.3,0.0231243762624952,0.0559690085540935
-68.25,0.022911634335001,0.0555161932898158
-68.2,0.0226923887074805,0.0550467356776649
-68.15,0.022466658492629,0.0545606221708196
-68.1,0.0222344650936169,0.0540578444570809
-68.05,0.0219958322264297,0.0535383995425125
-68,0.0217507859415653,0.0530022898343159
-67.95,0.0214993546450822,0.0524495232228888
-67.9,0.0212415691189593,0.0518801131630127
-67.85,0.0209774625407636,0.0512940787541235
-67.8,0.0207070705025937,0.0506914448195892
-67.75,0.0204304310292777,0.0500722419849582
-67.7,0.0201475845958054,0.0494365067551116
-67.65,0.0198585741439799,0.0487842815902686
-67.6,0.0195634450982556,0.048115614980777
-67.55,0.0192622453807457,0.047430561520639
-67.5,0.018955025425382,0.0467291819797114
-67.45,0.0186418381911974,0.0460115433745134
-67.4,0.0183227391747195,0.0452777190375941
-67.35,0.0179977864214396,0.0445277886853915
-67.3,0.017667040536356,0.0437618384845133
-67.25,0.0173305646935454,0.0429799611163967
-67.2,0.0169884246447653,0.0421822558402715
-67.15,0.0166406887270497,0.041368828554362
-67.1,0.016287427869285,0.04053979185528
-67.05,0.015928715597744,0.039695265095521
-67,0.0155646280405567,0.0388353744390276
-66.95,0.0151952439310929,0.0379602529147309
-66.9,0.0148206446102515,0.0370700404680238
-66.85,0.0144409140276155,0.0361648840100893
-66.8,0.0140561387414691,0.0352449374650296
-66.75,0.0136664079176515,0.034310361814718
-66.7,0.0132718133272284,0.0333613251413171
-66.65,0.0128724493429602,0.0323980026674017
-66.6,0.0124684129345559,0.0314205767936092
-66.55,0.012059803662681,0.0304292371337583
-66.5,0.0116467236717179,0.0294241805473745
-66.45,0.0112292776812444,0.0284056111695449
-66.4,0.0108075729762279,0.0273737404380517
-66.35,0.0103817193959066,0.0263287871177067
-66.3,0.00995182932135062,0.0252709773218275
-66.25,0.00951801766167957,0.0242005445307889
-66.2,0.00908040183892222,0.0231177296075829
-66.15,0.00863910177150883,0.022022780810326
-66.1,0.00819423985637601,0.0209159538016466
-66.05,0.00774594094966855,0.0197975116548904
-66,0.00729433234603176,0.0186677248570774
-65.95,0.00683954375647173,0.017526871308548
-65.9,0.00638170728477632,0.0163752363192408
-65.85,0.00592095740248974,0.0152131126015268
-65.8,0.00545743092241347,0.0140408002595578
-65.75,0.00499126697064465,0.0128586067750474
-65.7,0.00452260695711667,0.0116668469894359
-65.65,0.00405159454465934,0.0104658430823818
-65.6,0.00357837561654157,0.00925592454650933
-65.55,0.00310309824251464,0.00803742815836465
-65.5,0.00262591264332996,0.00681069794551972
-65.45,0.00214697115372949,0.00557608514976406
-65.4,0.00166642818390956,0.00433394818633692
-65.35,0.00118444017944332,0.00308465259913634
-65.3,0.000701165579659501,0.00182857101186095
-65.25,0.000216764774480592,0.000566083075022971
-65.2,0.000268599940293773,0.000702424591212097
-65.15,0.000754764409249446,0.00197655845840586
-65.1,0.00124156266517818,0.00325591815550825
-65.05,0.00172882697844386,0.0045400965388282
-65,0.00221638790791183,0.00582867976638449
-64.95,0.00270407435341714,0.0071212473766511
-64.9,0.00319171360979283,0.00841737237176359
-64.85,0.00367913142243487,0.00971662130521399
-64.8,0.00416615204441805,0.0110185543740843
-64.75,0.00465259829513716,0.0123227255158403
-64.7,0.00513829162049262,0.013628682509741
-64.65,0.00562305215458766,0.0149359670828793
-64.6,0.00610669878295111,0.0162441150209044
-64.55,0.00658904920725361,0.0175526562834298
